ARTICOLO ,CATEGORIA,STAGIONE ,LINEA ,COLORI,N CAPI TU ,N. CAPI XS ,N CAPI S,N CAPI M,N CAPI L ,N CAPI XL ,N CAPI XXL,PREZZO LAB ,PREZZO ECOMMERCE
BRASILE  ✅ ,TOP ,P/E,FELPA P.,SALMONE ,,1,1,1,1,,,"129,99",
BRASILE  ✅ ,TOP ,P/E,FELPA P.,AZZURRO ,,1,1,1,1,,,"129,99",
,,,,,,,,,,,,,
BERNA ✅,ABITO,P/E,MAGLIERIA ,NERO,3,,,,,,,120,
,,,,,,,,,,,,,
BUDAPEST  ✅,FELPA ZIP ,A/I,FELPA  P.,NERO ,,,,2,2,3,,"249,99",
BUDAPEST  ✅,FELPA ZIP ,A/I,FELPA  P.,CREMA ,,,,1,2,3,,"249,99",
BUDAPEST  ✅,FELPA ZIP ,A/I,FELPA  P.,CORDA ,,,,3,1,2,,"249,99",
,,,,,,,,,,,,"249,99",
ARTICOLO,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU,N CAPI XS ,N CAPI S ,N CAPI M ,N CAPI L ,N CAPI XL,N CAPI XXL ,VENDUTI ,
CALI✅,PANTALONI ,P/E,MAGLIERIA ,CREMA ,1,,,,,,,129,
CALI ✅,PANTALONI ,P/E,MAGLIERIA ,NERO ,2,,,,,,,129,
CALI ✅,PANTALONI ,P/E,MAGLIERIA ,CIOCCOLATO ,1,,,,,,,129,
,,,,,,,,,,,,,
CALIFORNIA ✅,TSHIRT,A/I,COTONE ,BIANCO,,,1,2,5,,,"69,99",
CALIFORNIA ✅,TSHIRT,A/I,COTONE ,CORDA T.F,,,5,4,4,,,"69,99",
CALIFORNIA ✅,TSHIRT,A/I,COTONE ,PIOMBO T.F,,,6,3,2,,,"69,99",
,,,,,,,,,,,,,
CAMBRIDGE ✅,FELPA ,A/I,FELPA  G.,GRIGIO T.F ,,,,0,0,0,,240,
CAMBRIDGE ✅,FELPA ,A/I,FELPA  G.,GRIGIO T.F ,,,,0,2,0,,240,
CAMBRIDGE ✅,FELPA ,A/I,FELPA  G.,NERO ,,,,3,5,3,,240,
CAMBRIDGE ✅,FELPA ,A/I,FELPA  G.,BIANCO,,,,2,7,3,,240,
CAMBRIDGE ✅,FELPA ,A/I,FELPA  G.,CAMMELLO ,,,,2,8,4,,240,
,,,,,,,,,,,,,
CANADA      ✅,GIACCA,P/E,FELPA P.,CORDA,,,,0,1,1,,"299,99",
CANADA      ✅,GIACCA,P/E,FELPA P.,NERO ,,,,1,2,3,,"299,99",
,,,,,,,,,,,,,
CANARIE  ✅,ABITO ,P/E,LICRA,NERO ,,,1,2,,,,,
CANARIE  ✅,ABITO ,P/E,LICRA ,CIOCCOLATO ,,,0,0,,,,,
CANARIE  ✅,ABITO ,P/E,LICRA ,PIOMBO ,,,2,3,,,,,
,,,,,,,,,,,,,
CAPRI ,PANTALONI ,P/E,MAGLIERIA ,NERO ,,,,,,,,"129,99",
CAPRI ,PANTALONI ,P/E,MAGLIERIA ,CREMA ,,,,,,,,"129,99",
,,,,,,,,,,,,,
CEFALU.      ✅,SALOPETTE,P/E,FELPA  P.,CORDA,,,1,2,,,,"279,99",
CEFALU       ✅,SALOPETTE ,P/E,FELPA  P.,CREMA,,,3,2,,,,"279,99",
CEFALU       ✅,SALOPETTE,P/E,FELPA  P.,NERO,,,1,2,,,,"279,99",
,,,,,,,,,,,,,
CIPRO ,PANTALONI ,P/E,MAGLIERIA ,NERO,1,,,,,,,164,
CIPRO ,PANTALONI ,P/E,MAGLIERIA ,CREMA ,3,,,,,,,164,
CIPRO ,PANTALONI ,P/E,MAGLIERIA ,CIOCCOLATO ,1,,,,,,,164,
,,,,,,,,,,,,,
COURMAYEUR  ✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO,,,0,0,4,0,,,
,,,,,,,,,,,,,
ARTICOLO,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU ,N CAPI XS ,N CAPI S,N CAPI M ,N CAPI L,N CAPI XL ,N CAPI XXL ,VENDUTI ,
CORTINA  ✅,CAPPOTTO,A/I,FELPA  G.,NERO,,,0,2,0,2,,"469,99",
CORTINA  ✅,CAPPOTTO ,A/I,FELPA  G.,BIANCO,,,1,1,1,1,,"469,99",
CORTINA  ✅,CAPPOTTO ,A/I,FELPA  G.,CAMMELLO,,,2,1,3,2,,"469,99",
,,,,,,,,,,,,,
DANIMARCA✅,MAGLIONE,A/I,MAGLIERIA,NERO,,,,0,3,1,,,
DANIMARCA✅,MAGLIONE,A/I,MAGLIERIA,CIOCO   TF.,,,,1,0,0,,,
DANIMARCA✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO T.F ,,,,4,4,0,,,
,,,,,,,,,,,,,
DETROIT ✅,FELPA ZIP,A/I,FELPA  G.,GRIGIO T.F,,,,2,1,2,,260,
DETROIT ✅,FELPA ZIP,A/I,FELPA  G.,GRIGIO T.F,,,,0,1,4,,260,
DETROIT ✅,FELPA ZIP ,A/I,FELPA  G.,CAMMELLO ,,,,0,1,0,,260,
DETROIT ✅,FELPA ZIP ,A/I,FELPA  G.,NERO ,,,,1,1,0,,260,
DETROIT ✅,FELPA ZIP ,A/I,FELPA  G.,BIANCO ,,,,1,1,0,,260,
,,,,,,,,,,,,,
DUBAI ,ABITO ,P/E,MAGLIERIA ,BIANCO,1,,,,,,,160,
DUBAI ,ABITO ,P/E,MAGLIERIA ,NERO,1,,,,,,,160,
DUBAI ,ABITO ,P/E,MAGLIERIA ,CIOCCOLATO ,1,,,,,,,160,
,,,,,,,,,,,,,
DUBLINO ✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO,,,,,4,,,,
DUBLINO ✅,MAGLIONE ,A/I,MAGLIERIA ,NERO/GRIGIO,,,,,4,,,,
DUBLINO ✅,MAGLIONE ,A/I,MAGLIERIA ,VERDE,,,,1,,,,,
DUBLINO ✅,MAGLIONE ,A/I,MAGLIERIA ,ROSA/VERDE,,,,1,,,,,
,,,,,,,,,,,,,
FINLANDIA ✅,SCIARPA ,A/I,MAGLIERIA ,CREMA ,3,,,,,,,,
FINLANDIA ✅,SCIARPA ,A/I,MAGLIERIA ,ROSA ,5,,,,,,,,
FINLANDIA ✅,SCIARPA ,A/I,MAGLIERIA ,PIOMBO,2,,,,,,,,
FINLANDIA ✅,SCIARPA ,A/I,MAGLIERIA ,GRIGIO,4,,,,,,,,
FINLANDIA ✅,SCIARPA ,A/I,MAGLIERIA ,NERO,1,,,,,,,,
FINLANDIA ✅,SCIARPA ,A/I,MAGLIERIA ,VERDE,7,,,,,,,,
,,,,,,,,,,,,,
FORMENTERA ✅,PANTALONI ,P/E,FELPA P.,NERO ,,,2,0,0,,,"129,99",
FORMENTERA ✅,PANTALONI ,P/E,FELPA P.,BIANCO,,,1,1,0,,,"129,99",
FORMENTERA ✅,PANTALONI ,P/E,FELPA P.,CREMA ,,,1,3,0,,,"129,99",
FORMENTERA ✅,PANTALONI ,P/E,FELPA P.,CORDA ,,,2,1,1,,,"129,99",
FORMENTERA ✅,PANTALONI ,P/E,FELPA P.,AZZURRO,,,0,3,1,,,"129,99",
FORMENTERA ✅,PANTALONI ,P/E,FELPA P.,SALMONE,,,1,2,1,,,"129,99",
,,,,,,,,,,,,,
FRANCOFORTE ✅,MAGLIONE ,A/I,MAGLIERIA ,NERO ,,,,0,3,3,,"229,99",
FRANCOFORTE ✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO TF.,,,,3,4,0,,"229,99",
FRANCOFORTE ✅,MAGLIONE ,A/I,MAGLIERIA ,CIOCO   TF.,,,,3,2,0,,"229,99",
,,,,,,,,,,,,"229,99",
ARTICOLO,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU ,N CAPI XS,N CAPI S,N CAPI M ,N CAPI L ,N CAPI XL ,N CAPI XXL ,VENDUTI ,
GEORGIA  ✅,PANTALONI ,P/E,FELPA P.,NERO,,,3,3,1,,,"139,99",
GEORGIA  ✅,PANTALONI ,P/E,FELPA P.,CORDA ,,,3,2,1,,,"139,99",
,,,,,,,,,,,,,
GINEVRA  ✅,PANTALONI ,A/I,FELPA L.,NERO,,1,0,0,0,,,"79,99",
GINEVRA  ✅,PANTALONI ,A/I,FELPA L.,PIOMBO,,2,1,0,2,,,"79,99",
GINEVRA  ✅,PANTALONI ,A/I,FELPA L.,CIOCCOLATO ,,2,2,1,1,,,"79,99",
,,,,,,,,,,,,,
HELSINKI   ✅,PANTALONI ,P/E,FELPA P.,NERO,,,3,3,2,,,"169,99",
HELSINKI   ✅,PANTALONI ,P/E,FELPA P.,CREMA,,,2,0,1,,,"169,99",
HELSINKI   ✅,PANTALONI ,P/E,FELPA  P.,CORDA ,,,2,2,2,,,"169,99",
,,,,,,,,,,,,,
IBIZA  ✅,PANTALONCINI,P/E,FELPA P.,NERO ,,,3,2,3,,,"149,99",
IBIZA  ✅,PANTALONCINI,P/E,FELPA P.,CREMA ,,,0,2,2,,,"149,99",
IBIZA  ✅,PANTALONCINI,P/E,FELPA P.,SALMONE ,,,2,2,1,,,"149,99",
IBIZA  ✅,PANTALONCINI,P/E,FELPA P.,AZZURRO,,,0,2,2,,,"149,99",
,,,,,,,,,,,,,
ISLANDA✅,MAGLIONE,A/I,MAGLIERIA ,VERDE,,,0,5,,,,,
,,,,,,,,,,,,,
IMPERIA    T.D ✅,CAPPOTTO ,A/I,FELPA L.,NERO,,,0,0,2,,,495,
IMPERIA    T.D ✅,CAPPOTTO ,A/I,FELPA L.,PIOMBO ,,,1,1,1,,,495,
IMPERIA    T.D ✅,CAPPOTTO ,A/I,FELPA L.,SALVIA ,,,1,1,2,,,495,
IMPERIA    T.D ✅,CAPPOTTO ,A/I,FELPA  L.,CAMMELLO ,,,0,2,3,,,495,
,,,,,,,,,,,,,
ISTANBUL ✅,ABITO ,P/E,FELPA P.,NERO ,,,,1,,,,,
,,,,,,,,,,,,,
JULY  ✅,PANTALONI ,A/I,FELPA L.,NERO,,,2,3,0,0,,"119,99",
JULY ✅,PANTALONI ,A/I,FELPA L.,SALVIA ,,,1,2,1,0,,"119,99",
JULY  ✅,PANTALONI ,A/I,FELPA L.,PIOMBO,,,2,1,2,0,,"119,99",
JULY  ✅,PANTALONI ,A/I,FELPA L.,CAMMELLO,,,0,1,1,1,,"119,99",
JULY  ✅,PANTALONI ,A/I,FELPA L.,CIOCCOLATO,,,0,2,1,0,,"119,99",
JULY  ✅,PANTALONI ,A/I,FELPA L.,CREMA ,,,1,1,0,0,,"119,99",
JULY  ✅,PANTALONI ,A/I,FELPA L.,BIANCO,,,0,0,1,0,,"119,99",
JULY  ✅,PANTALONI ,A/I,FELPA L.,SLMONE ,,,1,0,0,0,,"119,99",
,,,,,,,,,,,,"119,99",
ARTICOLO,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU ,N CAPI XS ,N CAPI S,N CAPI M ,N CAPI L ,N CAPI XL ,N CAPI XXL ,VENDUTI ,
LIONE T.D ✅,GIACCA,A/I,FELPA L.,PIOMBO,,1,,0,,1,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,NERO,,1,,1,,1,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,BIANCO,,1,,1,,0,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,SALMONE,,1,,0,,1,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,VERDE,,1,,1,,0,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,CREMA ,,1,,0,,2,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,CAMMELLO,,1,,1,,1,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,CIOCCOLATO,,1,,1,,1,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,GRIGIO T.F,,0,,2,,0,,"399,99",
LIONE T.D ✅,GIACCA,A/I,FELPA L.,CIOCCOLATO TF,,0,,2,,0,,"399,99",
,,,,,,,,,,,,,
LIVERPOOL  ✅,BOMBER,A/I,FELPA L.,SALVIA ,,,2,0,1,1,1,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,CREMA ,,,2,1,1,1,1,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,BIANCO,,,3,0,2,1,2,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,NERO,,,1,2,2,1,1,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,PIOMBO,,,2,1,2,1,2,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,CAMMELLO,,,4,1,2,1,2,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,SALMONE ,,,0,1,1,1,2,"119,99",
LIVERPOOL  ✅,BOMBER,A/I,FELPA  L.,CIOCCOLATO,,,0,2,2,1,2,"119,99",
,,,,,,,,,,,,,
LONDRA  ✅,MAGLIONE ,A/I,MAGLIERIA ,CREMA ,4,,,,,,,,
,,,,,,,,,,,,,
L.A  T.D ✅ ,FELPA ,A/I,FELPA G.,BIANCO,,,,4,,4,,"159,99",
L. A. T.D ✅,FELPA ,A/I,FELPA G.,NERO ,,,,16,,8,,"159,99",
L.A  T.D ✅ ,FELPA ,A/I,FELPA G.,CAMMELLO ,,,,8,,4,,"159,99",
,,,,,,,,,,,,,
MAIORCA ✅,TOP ,P/E,MAGLIERIA ,NERO,,,0,2,,,,"49,99",
MAIORCA ✅,TOP ,P/E,MAGLIERIA ,CREMA ,,,4,2,,,,"49,99",
,,,,,,,,,,,,,
MALAGA  ✅,POLO,P/E,FELPA P.,AZZURRO,,,3,0,0,,,"79,99",
MALAGA  ✅,POLO ,P/E,FELPA  P.,NERO,,,1,1,1,,,"79,99",
MALAGA  ✅,POLO ,P/E,FELPA  P.,CORDA ,,,1,1,1,,,"79,99",
MALAGA  ✅,POLO,P/E,FELPA  P.,BIANCO ,,,2,1,1,,,"79,99",
,,,,,,,,,,,,,
MALTA✅,MAGLIONE,P/E,MAGLIERIA,NERO,3,,,,,,,160,
MALTA✅,MAGLIONE,P/E,MAGLIERIA,CREMA,2,,,,,,,160,
MALTA✅,MAGLIONE,P/E,MAGLIERIA,MORO,3,,,,,,,160,
,,,,,,,,,,,,,
MALESIA✅,MAGLIONE,A/I,MAGLIERIA ,NERO,0,0,0,0,1,0,0,,
MALESIA✅,MAGLIONE,A/I,MAGLIERIA ,GRIGIO TF.,0,0,0,0,1,0,0,,
MALESIA✅,MAGLIONE,A/I,MAGLIERIA ,CIOCO   TF.,0,0,0,3,2,0,0,,
,,,,,,,,,,,,,
MANATHAN ✅,FELPA ZIP ,A/I,FELPA G.,NERO ,,,,1,1,,,220,
MANATHAN ✅,FELPA ZIP ,A/I,FELPA G.,BIANCO,,,,0,1,,,220,
MANATHAN ✅,FELPA ZIP ,A/I,FELPA G.,MORO T.F ,,,1,,,,,220,
,,,,,,,,,,,,,
ARTICOLO ,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU ,N CAPI XS,N CAPI S,N CAPI M ,N CAPI L ,N CAPI XL ,N CAPI XXL ,VENDUTI ,
MARRAKECH ✅,POLO ,P/E,FELPA P.,AZZURRO,,,,2,2,0,,"89,99",
MARRAKECH ✅,POLO ,P/E,FELPA P.,NERO,,,,2,2,2,,"89,99",
MARRAKECH ✅,POLO ,P/E,FELPA P,BIANCO,,,,2,2,2,,"89,99",
MARRAKECH ✅,POLO ,P/E,FELPA P,CREMA,,,,2,2,2,,,
,,,,,,,,,,,,,
MESSICO ✅,BODY,P/E,FELPA P.,NERO ,,1,1,1,1,,,"149,99",
MESSICO ✅,BODY,P/E,FELPA P.,BIANCO ,,1,1,1,2,,,"149,99",
MESSICO ✅,BODY,P/E,FELPA  P.,AZZURRO ,,1,1,1,1,,,"149,99",
MESSICO  ✅,BODY,P/E,FELPA P.,CREMA ,,1,1,1,1,,,"149,99",
MESSICO ✅,BODY,P/E,FELPA  P.,CORDA ,,1,1,1,1,,,"149,99",
MESSICO ✅,BODY,P/E,FELPA  P.,SALMONE ,,1,1,1,1,,,"149,99",
,,,,,,,,,,,,,
MIAMI ✅,GONNA,P/E,FELPA P.,NERO ,,,1,1,2,,,"129,99",
