ARTICOLO ,CATEGORIA,STAGIONE ,LINEA ,COLORI,N CAPI TU ,N. CAPI XS ,N CAPI S,N CAPI M,N CAPI L ,N CAPI XL ,N CAPI XXL,PREZZO LAB ,PREZZO ECOMMERCE
PALERMO ✅,FELPA ,A/I,FELPA P.,CORDA ,,,0,1,0,,,"189,99",
,,,,,,,,,,,,,
PARIGI  ✅,ABITO ,P/E,FELPA P,NERO,,2,2,1,,,,155,
PARIGI  ✅,ABITO ,P/E,FELPA P,BIANCO,,1,2,2,,,,155,
,,,,,,,,,,,,,
PECHINO  ✅,BLAZER CROP ,P/E,FELPA P,CORDA ,,,1,1,1,1,,290,
PECHINO  ✅,BLAZER CROP ,P/E,FELPA P,CREMA ,,,0,2,1,1,,290,
PECHINO  ✅,BLAZER CROP ,P/E,FELPA P,NERO ,,,2,2,2,2,,290,
,,,,,,,,,,,,,
POSITANO ,ABITO ,PE,MAGLIERIA ,NERO ,,1,1,,,,,"229,99",
POSITANO ,ABITO ,P/E,MAGLIERIA ,CREMA ,,,,1,,,,"229,99",
,,,,,,,,,,,,"229,99",
ARTICOLO ,CATEGORIA ,STAGIONE ,LINEA ,COLORI ,N CAPI TU ,N CAPI XS ,N CAPI S,N CAPI M ,N CAPI L ,N CAPI XL ,N CAPI XXL ,VENDUTI ,
PRAGA  ✅,FELPA ,A/I,FELPA L,NERO ,2,,,,,,,"169,99",
PRAGA  ✅,FELPA ,A/I,FELPA L,BIANCO ,4,,,,,,,"169,99",
PRAGA  ✅,FELPA ,A/I,FELPA L,PIOMBO,1,,,,,,,"169,99",
PRAGA  ✅,FELPA ,A/I,FELPA L,CAMMELLO,4,,,,,,,"169,99",
,,,,,,,,,,,,,
RIO  ✅,MAGLIONE ,P/E,MAGLIERIA ,NERO,2,,,,,,,144,
RIO  ✅,MAGLIONE ,P/E,MAGLIERIA ,CREMA,3,,,,,,,144,
RIO  ✅,MAGLIONE ,P/E,MAGLIERIA ,CIOCCOLATO ,4,,,,,,,144,
,,,,,,,,,,,,,
ROMA   ✅,FELPA ,A/I,FELPA P,AZZURRO,,,,3,4,4,,"129,99",
ROMA   ✅,FELPA ,A/I,FELPA P,NERO,,,,2,4,3,,"129,99",
ROMA   ✅,FELPA ,A/I,FELPA P,SALMONE,,,,2,2,2,,"129,99",
ROMA   ✅,FELPA ,A/I,FELPA P,CREMA ,,,,0,0,0,,"129,99",
ROMA   ✅,FELPA ,A/I,FELPA P,CORDA ,,,,0,2,2,,"129,99",
ROMA   ✅,FELPA ,A/I,FELPA P,BIANCO ,,,,0,0,1,,"129,99",
,,,,,,,,,,,,,
SAL  ✅,ABITO ,P/E,LICRA,NERO ,,,2,3,1,,,"189,99",
SAL ✅,ABITO ,P/E,LICRA,PIOMBO,,,3,3,1,,,"189,99",
SAL ✅,ABITO ,P/E,LICRA,CIOCCOLATO,,,1,3,1,,,"189,99",
,,,,,,,,,,,,,
SAN DIEGO T.D ✅,FELPA,A/I,FELPA G,BIANCO,,,2,,3,,,220,
SAN DIEGO T.D ✅,FELPA,A/I,FELPA G,NERO,,,2,,4,,,220,
SAN DIEGO T.D ✅,FELPA ,A/I,FELPA G,CAMMELLO,,,3,,5,,,220,
SAN DIEGO T.D ✅,FELPA ,A/I,FELPA G,GRIGIO C.,,,1,,2,,,220,
SAN DIEGO T.D ✅,FELPA,A/I,FELPA G,MORO,,,2,,3,,,220,
,,,,,,,,,,,,,
S.FARNCISCO ✅,FELPA ,A/I,FELPA G,NERO,,,5,2,4,,,200,
S.FARNCISCO  ✅,FELPA ,A/I,FELPA G,BIANCO,,,5,4,3,,,200,
S.FARNCISCO  ✅ ,FELPA ,A/I,FELPA G,CAMMELLO,,,5,4,5,,,200,
S.FARNCISCO ✅,FELPA ,A/I,FELPA G,GRIGIO C.,,,2,1,4,,,200,
S.FARNCISCO ✅,FELPA ,A/I,FELPA G,MORO,,,4,2,2,,,200,
,,,,,,,,,,,,,
SIBERIA  ✅,FELPA ZIP ,A/I,FELPA G,NERO,,,,4,,,,"199,99",
,,,,,,,,,,,,,
SINGAPORE ✅,GILET ,P/E,MAGLIERIA ,NERO,,,1,,,,,"129,99",
SINGAPORE ✅,GILET ,P/E,MAGLIERIA ,CREMA,,,1,1,,,,"129,99",
ARTICOLO ,CATEGORIA,STAGIONE,LINEA ,COLORI ,N CAPI TU ,N CAPI XS,N CAPI S,N CAPI M ,N CAPI L ,N CAPI XL ,N CAPI XXL ,VENDUTI ,
SIVIGLIA   ✅,FELPA ,A/I,FELPA L,NERO,,,,2,1,1,,"139,99",
SIVIGLIA.  ✅,FELPA ,A/I,FELPA L,BIANO,,,,0,1,1,,"139,99",
SIVIGLIA   ✅,FELPA ,A/I,FELPA L,PIOMBO,,,,1,0,1,,"139,99",
SIVIGLIA   ✅,FELPA ,A/I,FELPA L,CAMMELLO,,,,1,1,1,,"139,99",
,,,,,,,,,,,,,
SIDNEY  ✅,FELPA ,A/I,FELPA G,BIANCO,,,,,1,0,,"249,99",
SIDNEY  ✅,FELPA ,A/I,FELPA G,CAMMELLO ,,,,,1,3,,"249,99",
SYDNEY ✅,FELPA ,A/I,FELPA G,NERO ,,,,,0,3,,"249,99",
,,,,,,,,,,,,ù,
TAORMINA ,MAGLIONE ,P/E,MAGLIERIA ,BIANCO,3,,,,,,,120,
TAORMINA ,MAGLIONE ,P/E,MAGLIERIA ,NERO,3,,,,,,,120,
TAORMINA ,MAGLIONE ,P/E,MAGLIERIA ,CIOCCOLATO,3,,,,,,,120,
,,,,,,,,,,,,,
TENERIFE  ✅,FELPA ,A/I,FELPA P,NERO ,,,,0,2,1,,"129,99",
TENERIFE  ✅,FELPA ,A/I,FELPA P,BIANCO ,,,,1,2,0,,"129,99",
TENERIFE  ✅,FELPA ,A/I,FELPA P,AZZURRO ,,,,2,1,2,,"129,99",
TENERIFE  ✅,FELPA ,A/I,FELPA P,SALMONE ,,,,3,1,2,,"129,99",
TENERIFE  ✅,FELPA ,A/I,FELPA P,CREMA,,,,1,0,0,,"129,99",
,,,,,,,,,,,,,
TOKYO  T.D. ✅,FELPA ,A/I,FELPA G,NERO ,,,,1,,2,,"179,99",
 TOKYO. T.D ✅,FELPA ,A/I,FELPA G,BIANCO,,,,2,,4,,"179,99",
TOKYO  T.D. ✅,FELPA ,A/I,FELPA G,CAMMELLO,,,,3,,2,,"179,99",
,,,,,,,,,,,,,
TORONTO ✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO,0,0,0,3,0,0,0,,
,,,,,,,,,,,,,
VENEZIA  ✅,ABITO ,P/E,FELPA P,,,,,1,,,,260,
,,,,,,,,,,,,,
VERSAILLES ✅,PANTALONI ,A/I,FELPA L,GRIGIO TF.,,,1,1,1,1,,"129,99",
VERSAILLES ✅,PANTALONI ,A/I,FELPA L,CIOCO   TF.,,,0,0,7,7,,"129,99",
,,,,,,,,,,,,,
VIENNA  T.D ✅,FELPA CROP ,A/I,FELPA L,NERO,,2,,3,,,,"99,99",
VIENNA  T.D ✅,FELPA CROP ,A/I,FELPA L,BIANCO,,2,,3,,,,"99,99",
VIENNA  T.D ✅,FELPA CROP ,A/I,FELPA L,PIOMBO ,,3,,0,,,,"99,99",
VIENNA  T.D ✅,FELPA CROP ,A/I,FELPA L,CAMMELLO,,3,,3,,,,"99,99",
,,,,,,,,,,,,,
VIRGINIA  ✅,PANTALONI ,A/I,LICRA ,NERO ,,,0,0,0,,,"49,99",
VIRGINIA  ✅,PANTALONI ,A/I,LICRA ,PIOMBO,,,3,4,0,,,"49,99",
VIRGINIA  ✅,PANTALONI ,A/I,LICRA ,CREMA,,,4,4,1,,,"49,99",
VIRGINIA  ✅,PANTALONI ,A/I,LICRA ,CIOCCOLATO,,,4,2,1,,,"49,99",
,,,,,,,,,,,,,
ZURIGO ✅,MAGLIONE ,A/I,MAGLIERIA ,GRIGIO,0,0,0,4,0,0,,,
